"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 12:57:32 UTC 2022","Tue May 17 12:57:32 UTC 2022","73","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","shipping class","shipping class",""
"passed","Tue May 17 12:57:31 UTC 2022","Tue May 17 12:57:31 UTC 2022","172","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","before / after","before / after",""
"passed","Tue May 17 12:57:30 UTC 2022","Tue May 17 12:57:30 UTC 2022","149","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","slug","slug",""
"passed","Tue May 17 12:57:44 UTC 2022","Tue May 17 12:57:44 UTC 2022","242","","Orders API tests List all orders","","Orders API tests List all orders","parent","parent",""
"passed","Tue May 17 12:57:52 UTC 2022","Tue May 17 12:57:53 UTC 2022","168","","Products API tests: CRUD","","Products API tests: CRUD","can delete a product","can delete a product",""
"passed","Tue May 17 12:57:50 UTC 2022","Tue May 17 12:57:50 UTC 2022","171","","Coupons API tests","","Coupons API tests","can permanently delete a coupon","can permanently delete a coupon",""
"passed","Tue May 17 12:57:52 UTC 2022","Tue May 17 12:57:52 UTC 2022","97","","Products API tests: CRUD","","Products API tests: CRUD","can update a single product","can update a single product",""
"passed","Tue May 17 12:57:50 UTC 2022","Tue May 17 12:57:51 UTC 2022","75","","Coupons API tests List coupons","","Coupons API tests List coupons","can list all coupons by default","can list all coupons by default",""
"passed","Tue May 17 12:57:43 UTC 2022","Tue May 17 12:57:44 UTC 2022","417","","Orders API tests List all orders","","Orders API tests List all orders","inclusion / exclusion","inclusion / exclusion",""
"passed","Tue May 17 12:57:44 UTC 2022","Tue May 17 12:57:45 UTC 2022","262","","Orders API tests List all orders","","Orders API tests List all orders","customer","customer",""
"passed","Tue May 17 12:57:56 UTC 2022","Tue May 17 12:57:56 UTC 2022","90","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'refunded'","can update status of an order to 'refunded'",""
"passed","Tue May 17 12:57:56 UTC 2022","Tue May 17 12:57:56 UTC 2022","76","","Orders API tests: CRUD Retrieve an order","","Orders API tests: CRUD Retrieve an order","can retrieve an order","can retrieve an order",""
"passed","Tue May 17 12:57:32 UTC 2022","Tue May 17 12:57:32 UTC 2022","79","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tags","tags",""
"passed","Tue May 17 12:57:30 UTC 2022","Tue May 17 12:57:31 UTC 2022","209","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","featured","featured",""
"passed","Tue May 17 12:58:02 UTC 2022","Tue May 17 12:58:03 UTC 2022","76","","Order Search API tests","","Order Search API tests","can search by billing phone","can search by billing phone",""
"passed","Tue May 17 12:58:00 UTC 2022","Tue May 17 12:58:00 UTC 2022","71","","Shipping zones API tests","","Shipping zones API tests","can retrieve a shipping zone","can retrieve a shipping zone",""
"passed","Tue May 17 12:57:53 UTC 2022","Tue May 17 12:57:53 UTC 2022","176","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"passed","Tue May 17 12:57:54 UTC 2022","Tue May 17 12:57:54 UTC 2022","303","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'processing'","can create an order with status 'processing'",""
