"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 17:36:47 UTC 2022","Tue May 17 17:36:48 UTC 2022","179","","Products API tests: CRUD","","Products API tests: CRUD","can delete a product","can delete a product",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","73","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","shipping class","shipping class",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","77","","Order Search API tests","","Order Search API tests","can search by shipping city","can search by shipping city",""
"passed","Tue May 17 17:36:38 UTC 2022","Tue May 17 17:36:38 UTC 2022","102","","Orders API tests","","Orders API tests","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Tue May 17 17:36:45 UTC 2022","Tue May 17 17:36:45 UTC 2022","75","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch update coupons","can batch update coupons",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","77","","Order Search API tests","","Order Search API tests","can search by shipping first name","can search by shipping first name",""
"passed","Tue May 17 17:36:49 UTC 2022","Tue May 17 17:36:49 UTC 2022","268","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'processing'","can create an order with status 'processing'",""
"skipped","Tue May 17 17:36:30 UTC 2022","Tue May 17 17:36:30 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (asc)","rating (asc)",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","82","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'pending'","can update status of an order to 'pending'",""
"passed","Tue May 17 17:36:40 UTC 2022","Tue May 17 17:36:40 UTC 2022","86","","Orders API tests List all orders","","Orders API tests List all orders","product","product",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","217","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","id","id",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","127","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'processing'","can update status of an order to 'processing'",""
"passed","Tue May 17 17:36:45 UTC 2022","Tue May 17 17:36:45 UTC 2022","180","","Coupons API tests","","Coupons API tests","can permanently delete a coupon","can permanently delete a coupon",""
"passed","Tue May 17 17:36:40 UTC 2022","Tue May 17 17:36:40 UTC 2022","247","","Orders API tests List all orders","","Orders API tests List all orders","dp (precision)","dp (precision)",""
"passed","Tue May 17 17:36:50 UTC 2022","Tue May 17 17:36:50 UTC 2022","236","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'refunded'","can create an order with status 'refunded'",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","110","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add a product to an order","can add a product to an order",""
"passed","Tue May 17 17:36:39 UTC 2022","Tue May 17 17:36:40 UTC 2022","239","","Orders API tests List all orders","","Orders API tests List all orders","parent","parent",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","114","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'completed'","can update status of an order to 'completed'",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","73","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tax class","tax class",""
"passed","Tue May 17 17:36:50 UTC 2022","Tue May 17 17:36:50 UTC 2022","236","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'cancelled'","can create an order with status 'cancelled'",""
"passed","Tue May 17 17:36:45 UTC 2022","Tue May 17 17:36:45 UTC 2022","245","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch delete coupons","can batch delete coupons",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","72","","Order Search API tests","","Order Search API tests","can search by billing company name","can search by billing company name",""
"passed","Tue May 17 17:36:58 UTC 2022","Tue May 17 17:36:58 UTC 2022","74","","Order Search API tests","","Order Search API tests","can return an empty result set when no matches were found","can return an empty result set when no matches were found",""
"passed","Tue May 17 17:36:49 UTC 2022","Tue May 17 17:36:49 UTC 2022","281","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'on-hold'","can create an order with status 'on-hold'",""
"passed","Tue May 17 17:36:38 UTC 2022","Tue May 17 17:36:39 UTC 2022","500","","Orders API tests List all orders","","Orders API tests List all orders","pagination","pagination",""
"passed","Tue May 17 17:36:44 UTC 2022","Tue May 17 17:36:45 UTC 2022","533","","Coupons API tests","","Coupons API tests","can retrieve a coupon","can retrieve a coupon",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","78","","Order Search API tests","","Order Search API tests","can search by billing phone","can search by billing phone",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","79","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","stock status","stock status",""
"passed","Tue May 17 17:36:46 UTC 2022","Tue May 17 17:36:46 UTC 2022","76","","Coupons API tests List coupons","","Coupons API tests List coupons","can list all coupons by default","can list all coupons by default",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","79","","Order Search API tests","","Order Search API tests","can search by billing state","can search by billing state",""
"passed","Tue May 17 17:36:29 UTC 2022","Tue May 17 17:36:29 UTC 2022","249","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","price","price",""
"passed","Tue May 17 17:36:45 UTC 2022","Tue May 17 17:36:45 UTC 2022","112","","Coupons API tests","","Coupons API tests","can update a coupon","can update a coupon",""
"passed","Tue May 17 17:36:48 UTC 2022","Tue May 17 17:36:49 UTC 2022","121","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create a pending order by default","can create a pending order by default",""
"passed","Tue May 17 17:36:47 UTC 2022","Tue May 17 17:36:47 UTC 2022","113","","Products API tests: CRUD","","Products API tests: CRUD","can update a single product","can update a single product",""
"passed","Tue May 17 17:36:30 UTC 2022","Tue May 17 17:36:30 UTC 2022","85","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (desc)","popularity (desc)",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","71","","Order Search API tests","","Order Search API tests","can search by shipping last name","can search by shipping last name",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","82","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'failed'","can update status of an order to 'failed'",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:58 UTC 2022","82","","Order Search API tests","","Order Search API tests","can search by shipping state","can search by shipping state",""
"passed","Tue May 17 17:36:58 UTC 2022","Tue May 17 17:36:58 UTC 2022","152","","Shipping methods API tests","","Shipping methods API tests","can add a 'Local pickup' shipping method","can add a 'Local pickup' shipping method",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","79","","Order Search API tests","","Order Search API tests","can search by billing first name","can search by billing first name",""
"passed","Tue May 17 17:36:41 UTC 2022","Tue May 17 17:36:41 UTC 2022","165","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","date","date",""
"passed","Tue May 17 17:36:27 UTC 2022","Tue May 17 17:36:27 UTC 2022","83","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","attributes","attributes",""
"passed","Tue May 17 17:36:49 UTC 2022","Tue May 17 17:36:49 UTC 2022","212","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'pending'","can create an order with status 'pending'",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","86","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'cancelled'","can update status of an order to 'cancelled'",""
"passed","Tue May 17 17:36:48 UTC 2022","Tue May 17 17:36:48 UTC 2022","174","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","108","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Tue May 17 17:36:26 UTC 2022","Tue May 17 17:36:26 UTC 2022","154","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","sku","sku",""
"passed","Tue May 17 17:36:52 UTC 2022","Tue May 17 17:36:52 UTC 2022","173","","Orders API tests: CRUD Delete an order","","Orders API tests: CRUD Delete an order","can permanently delete an order","can permanently delete an order",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","83","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'refunded'","can update status of an order to 'refunded'",""
"passed","Tue May 17 17:36:25 UTC 2022","Tue May 17 17:36:25 UTC 2022","130","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","defaults","defaults",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","107","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","default","default",""
"passed","Tue May 17 17:36:47 UTC 2022","Tue May 17 17:36:47 UTC 2022","220","","Products API tests: CRUD","","Products API tests: CRUD","can add a virtual product","can add a virtual product",""
"passed","Tue May 17 17:36:47 UTC 2022","Tue May 17 17:36:47 UTC 2022","131","","Products API tests: CRUD","","Products API tests: CRUD","can add a simple product","can add a simple product",""
"passed","Tue May 17 17:36:26 UTC 2022","Tue May 17 17:36:26 UTC 2022","341","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","type","type",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:51 UTC 2022","84","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'on-hold'","can update status of an order to 'on-hold'",""
"passed","Tue May 17 17:36:47 UTC 2022","Tue May 17 17:36:47 UTC 2022","234","","Products API tests: CRUD","","Products API tests: CRUD","can add a variable product","can add a variable product",""
"passed","Tue May 17 17:36:58 UTC 2022","Tue May 17 17:36:58 UTC 2022","151","","Shipping methods API tests","","Shipping methods API tests","can add a 'Free shipping' shipping method","can add a 'Free shipping' shipping method",""
"passed","Tue May 17 17:36:46 UTC 2022","Tue May 17 17:36:46 UTC 2022","73","","Coupons API tests List coupons","","Coupons API tests List coupons","can paginate results","can paginate results",""
"passed","Tue May 17 17:36:50 UTC 2022","Tue May 17 17:36:50 UTC 2022","75","","Orders API tests: CRUD Retrieve an order","","Orders API tests: CRUD Retrieve an order","can retrieve an order","can retrieve an order",""
"passed","Tue May 17 17:36:46 UTC 2022","Tue May 17 17:36:46 UTC 2022","143","","Coupons API tests Add coupon to order","","Coupons API tests Add coupon to order","can add coupon to an order","can add coupon to an order",""
"passed","Tue May 17 17:36:26 UTC 2022","Tue May 17 17:36:26 UTC 2022","151","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","slug","slug",""
"passed","Tue May 17 17:36:50 UTC 2022","Tue May 17 17:36:50 UTC 2022","248","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'failed'","can create an order with status 'failed'",""
"passed","Tue May 17 17:36:47 UTC 2022","Tue May 17 17:36:47 UTC 2022","77","","Products API tests: CRUD","","Products API tests: CRUD","can view a single product","can view a single product",""
"passed","Tue May 17 17:36:27 UTC 2022","Tue May 17 17:36:27 UTC 2022","162","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","before / after","before / after",""
