"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 10 10:46:38 UTC 2022","Mon Oct 10 10:47:24 UTC 2022","45367","Chrome","","WooCommerce plugin can be uploaded and activated","","","can upload and activate the WooCommerce plugin",""
"passed","Mon Oct 10 10:48:03 UTC 2022","Mon Oct 10 10:48:06 UTC 2022","2812","Chrome","","A basic set of tests to ensure WP, wp-admin and my-account load > Sign in as admin","","","Load wp-admin",""
"passed","Mon Oct 10 10:48:06 UTC 2022","Mon Oct 10 10:48:08 UTC 2022","2981","Chrome","","A basic set of tests to ensure WP, wp-admin and my-account load > Sign in as customer","","","Load customer my account page",""
"passed","Mon Oct 10 10:48:01 UTC 2022","Mon Oct 10 10:48:03 UTC 2022","2005","Chrome","","A basic set of tests to ensure WP, wp-admin and my-account load","","","Load the home page",""
"skipped","Mon Oct 10 10:47:24 UTC 2022","Mon Oct 10 10:47:30 UTC 2022","6051","Chrome","","WooCommerce plugin can be uploaded and activated","","","can run the database update",""
