"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 10 04:22:51 UTC 2022","Mon Oct 10 04:22:54 UTC 2022","2644","","Order Search API tests","","Order Search API tests","can search by billing phone","can search by billing phone",""
"passed","Mon Oct 10 10:49:18 UTC 2022","Mon Oct 10 10:49:22 UTC 2022","4332","Chrome","","Orders API tests: CRUD > Create an order","","","can create an order with status processing",""
"failed","Mon Oct 10 04:13:19 UTC 2022","Mon Oct 10 04:13:23 UTC 2022","3522","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","slug","slug",""
"passed","Mon Oct 10 10:50:05 UTC 2022","Mon Oct 10 10:50:06 UTC 2022","1571","Chrome","","Orders API tests: CRUD > Update an order","","","can update status of an order to cancelled",""
"failed","Mon Oct 10 10:48:46 UTC 2022","Mon Oct 10 10:48:47 UTC 2022","1795","Chrome","","Customers API tests: CRUD > Retrieve after env setup","","","can retrieve admin user",""
"passed","Mon Oct 10 10:50:10 UTC 2022","Mon Oct 10 10:50:12 UTC 2022","1917","Chrome","","Orders API tests: CRUD > Update an order","","","can add shipping and billing contacts to an order",""
"failed","Mon Oct 10 04:14:22 UTC 2022","Mon Oct 10 04:14:27 UTC 2022","4949","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","include","include",""
"passed","Mon Oct 10 10:50:39 UTC 2022","Mon Oct 10 10:50:43 UTC 2022","3960","Chrome","","Products API tests: CRUD","","","can add a variable product",""
"passed","Mon Oct 10 04:22:15 UTC 2022","Mon Oct 10 04:22:18 UTC 2022","2943","","Refunds API tests","","Refunds API tests","can list all refunds","can list all refunds",""
"failed","Mon Oct 10 04:13:51 UTC 2022","Mon Oct 10 04:13:53 UTC 2022","1607","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","stock status","stock status",""
"passed","Mon Oct 10 10:49:13 UTC 2022","Mon Oct 10 10:49:18 UTC 2022","4118","Chrome","","Orders API tests: CRUD > Create an order","","","can create an order with status pending",""
"failed","Mon Oct 10 04:13:56 UTC 2022","Mon Oct 10 04:13:58 UTC 2022","2141","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","date","date",""
"passed","Mon Oct 10 10:51:12 UTC 2022","Mon Oct 10 10:51:16 UTC 2022","3832","Chrome","","Shipping methods API tests","","","can add a Local pickup shipping method",""
"passed","Mon Oct 10 10:51:38 UTC 2022","Mon Oct 10 10:51:39 UTC 2022","1571","Chrome","","Tax Rates API tests: CRUD > Retrieve after create","","","can retrieve all tax rates",""
"passed","Mon Oct 10 10:49:54 UTC 2022","Mon Oct 10 10:49:59 UTC 2022","4814","Chrome","","Orders API tests: CRUD > Update an order","","","can update status of an order to pending",""
"failed","Mon Oct 10 04:16:48 UTC 2022","Mon Oct 10 04:16:55 UTC 2022","6288","","Orders API tests List all orders","","Orders API tests List all orders","parent","parent",""
